,user_id,comment,time,date,rating
48,user_49,"Buscaba un lugar tranquilo y aquí lo encontré. Los camareros, muy atentos, me atendieron apenas me senté. Cerveza fresquita, vistas al puerto, muy agradable, la ración de calamares bien de calidad y a precio razonable. Volveré por allí.",Hace 4 meses,2024-08-22,5 estrellas
49,user_50,"La primera y no será la última vez que venga. Todo muy bueno y bien presentado. Las croquetas super ricas de puerros y emmental y otra de queso azul, una ensalada de temperatura con muchos sabores( granada, naranja, manzana nueces, patatas, lechuga, aguacate...), Un plato de puchero marroquí, harira, muy rico.y los platos principales son una buena ración, curry de verduras con arroz y ya os de heura. El curry espectacular y es taco muy jugoso con el tomate. Para acabar un petit Suis que hacen ellos sin harina, ni lácteos ni azucar y tiramisú que estaba fuera de carta, los dos muy ricos.",Hace 6 años,2018-12-22,4 estrellas
50,user_51,"La tostada de mozzarela, aguacate y huevos revueltos riquísima y el café también! De precio no es demasiado caro. Localización genial, junto al puerto de Hondarribia y cerca de la playa. El servicio un poco lento y una de las camareras poco agradable.",Hace un año,2023-12-22,4 estrellas
51,user_52,"Es uno de nuestros restaurantes favoritos, en el hemos vivido momentos inolvidables. Es un lugar con un encanto especial dónde te puedes tomar algo, picotear o comer en un ambiente tranquilo. Siempre que podemos, llevamos a nuestros amigos…",Hace 5 años,2019-12-22,5 estrellas
52,user_53,"Sitio bastante tranquilo y bueno para comer. Si estás por Hondarribi no puedes perderte este sitio.
Con unas croquetas de entrante, una hamburguesa de remolacha y un brownie de…",Hace 5 meses,2024-07-22,4 estrellas
53,user_54,"Llevo yendo muchos años y siempre ha sido increíble, de 5 estrellas , pero este año han sustituído la carta por un menú insípido y caro de dos estrellas :(…",Hace 3 meses,2024-09-22,3 estrellas
54,user_55,"Un bonito local al lado del puerto donde te atienden camareros eficaces y muy majos.
Muy ricas las patatas y las gildas. Sólo picamos algo.",Hace un año,2023-12-22,5 estrellas
55,user_56,Todo muy bien hasta que pedí un cortado con leche de avena y se cobro 10 céntimos de suplemento por la leche. No creo que sea muy lógico cobrar suplementos por ese tipo de cosas.,Hace 4 meses,2024-08-22,3 estrellas
56,user_57,"He ido un par de veces a comer y a desayunar y muy bueno, todo lo que he probado me ha gustado. Se nota que son productos de buena calidad y el trato ni se diga, todos muy majos. Encima puedes entrar con perros 🥰…",Hace 2 años,2022-12-22,5 estrellas
57,user_58,Es el único restaurante vegetariano de la zona de gran calidad y mucha variedad con comidas comidas muy diferentes a lo acostumbrado. Se paga pero se come bien.,Hace 3 años,2021-12-22,5 estrellas
58,user_59,"Solo tomamos café. Estaba muy bueno, además tenían un par de bizcochos veganos. El camarero simpático. Sitio amplio en pleno puerto. Precio normal.",Hace 2 años,2022-12-22,5 estrellas
59,user_60,"Lamentable experiencia.  Mucho cuidado con este lugar. Recien fui a desayunar y me acerque a la barra y nadie ni me saludo, decidi sentarme fuera para tomar el sol y la chica que me atendio super borde, me dejo la experiencia más amarga de…",Hace un año,2023-12-22,1 estrella
